comments,id,no,title
"지프로 별로?,내경험상 근데 레이저는 내구성이 진짜 개좃망인데 18.9만원 ㅋㅋ,레이저가 무히려 좋고 as 보내면 묻지마 교환해줌,교환사유 아닌데 아 이거그냥 저희가 이문제로 교환해드릴게요 하는데 로지텍은 g903 as신청하고 재고없다고 한달걸림,레이저는 맨날 휠이 먼저 맛이 가더라고,내가 좃우 1년하면서 갈아치운 레이저 마우스가 세개임,흠.. 레이저 마우스 세개 ㅤㅆㅓㅅ는데 휠 문제는 한번도..,좃우가 뭐지 ..?,마우스 뭐씀,로지텍은 그냥 2년쓰면 더블클릭 최소 두번이상은 겪는게 문제인데",leagueoflegends3,2777982,아 빨리 마우스 배송와야 이 좆같은 마우스를 처리하는데
"아니미드하셈,미드만? 전글에 정글도 하라는애있었는데,정글로시작하면 라인전 존나못할거같음,미드 정글 두개해야댐?,정글만 파는데 라인전을 어케 잘하노 씨팔,미드 정글 두개만 해도댐?,진짜 라인전은 탑에서 배우렴^^,아 싫어요,피오라는 해보고싶음",leagueoflegends3,2777981,처음에 정글만 파도 모든 라인 다 잘할 수 있게됨?
,leagueoflegends3,2777983,만례ㅃㅤㅇㅠㄲ썽힘뜰면! 1-30 롤육성경작 같이하자!@*@!
,leagueoflegends3,2777947,미드절대자
"자야 카이사,지금 적용됨?,ㅇㅇㅇ",leagueoflegends3,2777952,원딜 너프먹음?
,leagueoflegends3,2777949,나같은 새끼없냐 챔프폭이 좁은건아닌데
"세기말이라 플다 구간이면 스로잉+대리 천지야,대리인지 부캐인지 좀잇는듯,난 운이좋아 우리팀으로있던판이 더많았지ㅤㅁㅑㄴ",leagueoflegends3,2777950,진지하게 지금 이시간대 플레 구간에 대리 부캐 많음??
"야스오?,라이즈,오른,g2 야스오는 백퍼",leagueoflegends3,2777953,G2와 펀플 우승시 스킨 받을 챔좀 말해보셈
"? - dc App,올라프가 병신인거지 w 킨 상태에서 싸우면 올라프가 못이기는 상대 아예 없음  - dc App",leagueoflegends3,2777958,워윅이 올라프 이기던데
"그건 거의 모든 미드가 그렇지ㅤㅇㅏㅎㄴ냐,요즘 조이는 미드라인전 무조건 이긴다음 먼저 템뽑아서 상대탱커 몸만들기전에 뚫어놔야함",leagueoflegends3,2777955,조이로 상대 탱커 존나 잘크면 개답없지않음?
"1렙 e찍어,e선마,e선마 ㄱ  - dc App,1렙E,리신미러?q말고 e 위주로 배워야할걸,e플 쓸줄알면 승률올라감,1렙 e찍고 선푸쉬하기,e플만잘해도이기더만,착취드세",leagueoflegends3,2777951,리신 미드빵 하기로 했는데 꿀팁 알려주라
,leagueoflegends3,2777957,롤 오랜만에 하는데 프리시즌에 랭크 돌리면 어떻게 되냐?
"짤 편집한거임?  - dc App,ㄴㄴ  - dc App",leagueoflegends3,2777960,소라카 성고문 하고싶다
,leagueoflegends3,2777961,퀸 공중제비 베인선고로 씹을수있냐?
,leagueoflegends3,2777954,레고.. 블리자드에 다리자르기 시계빵 제안...jpg
"찌라시 + 사실 갈만한팀이 많지 않음,비디디면 중국에서도 러브콜 할거고 갈데 존나 많을텐데  - dc App",leagueoflegends3,2777948,야 비디디가 왜 킹존 확정이냐?
,leagueoflegends3,2777988,키아나 궁 벽에서만 터지는줄아는애들 많더라
나ㅤㄸㅒㄴ 한타의 프로스트였는데,leagueoflegends3,2777966,"그리핀 ㄹㅇ 18년도 막 올라왔을땐 ""한타의 그리핀"" 이었는데"
,leagueoflegends3,2777987,돌이켜보면 페이커 운영이 존나 좋았떤 게 아니라
,leagueoflegends3,2777994,이번 솔랭 1등 구마유시 킹겐 각인가 
,leagueoflegends3,2777995,애쉬는 인피 계산이 어케됨?
,leagueoflegends3,2777992,G2는 우승하면 야스오 스킨 무조건 예약임
"ㄹㅇ 모르가나늠 ㅈㄴ잘보이는데 럭스는 - dc App,레알 특정 스킨은 진짜 거의 안보임",leagueoflegends3,2777991,럭스 q가 진짜 좆같던데 ㅋㅋ 안보임
머리기사 - dc App,leagueoflegends3,2777993,하위티어특징:니달리없음
